Rank;TZ;DAIO;Yr;mvts;;;
Base;Croatia;AD;2019;102,356;;;
Base;Croatia;AD;2020;38,970;;;
Base;Croatia;AD;2021;64,219;;;
Base;Croatia;AD;2022;96,474;;;
High;Croatia;AD;2022;96,474;;;
Low;Croatia;AD;2022;96,474;;;
Base;Croatia;AD;2023;102,412;;;
High;Croatia;AD;2023;103,297;;;
Low;Croatia;AD;2023;101,533;;;
Base;Croatia;AD;2024;108,656;;;
High;Croatia;AD;2024;111,383;;;
Low;Croatia;AD;2024;105,889;;;
Base;Croatia;AD;2025;111,021;;;
High;Croatia;AD;2025;116,536;;;
Low;Croatia;AD;2025;105,674;;;
Base;Croatia;AD;2026;114,130;;;
High;Croatia;AD;2026;121,882;;;
Low;Croatia;AD;2026;106,692;;;
Base;Croatia;AD;2027;117,258;;;
High;Croatia;AD;2027;127,346;;;
Low;Croatia;AD;2027;107,666;;;
Base;Croatia;AD;2028;120,307;;;
High;Croatia;AD;2028;132,576;;;
Low;Croatia;AD;2028;108,680;;;
Base;Croatia;AD;2029;122,434;;;
High;Croatia;AD;2029;136,880;;;
Low;Croatia;AD;2029;108,847;;;
Base;Cyprus;AD;2010;63,547;;;
Base;Cyprus;AD;2011;65,006;;;
Base;Cyprus;AD;2012;62,694;;;
Base;Cyprus;AD;2013;56,344;;;
Base;Cyprus;AD;2014;58,971;;;
Base;Cyprus;AD;2015;59,835;;;
Base;Cyprus;AD;2016;71,696;;;
Base;Cyprus;AD;2017;80,635;;;
Base;Cyprus;AD;2018;84,037;;;
Base;Cyprus;AD;2019;81,684;;;
Base;Cyprus;AD;2020;33,546;;;
Base;Cyprus;AD;2021;52,942;;;
Base;Cyprus;AD;2022;72,967;;;
High;Cyprus;AD;2022;72,967;;;
Low;Cyprus;AD;2022;72,967;;;
Base;Cyprus;AD;2023;86,250;;;
High;Cyprus;AD;2023;86,822;;;
Low;Cyprus;AD;2023;85,681;;;
Base;Cyprus;AD;2024;93,067;;;
High;Cyprus;AD;2024;95,431;;;
Low;Cyprus;AD;2024;90,596;;;
Base;Cyprus;AD;2025;95,226;;;
High;Cyprus;AD;2025;100,150;;;
Low;Cyprus;AD;2025;90,573;;;
Base;Cyprus;AD;2026;97,354;;;
High;Cyprus;AD;2026;104,548;;;
Low;Cyprus;AD;2026;90,873;;;
Base;Cyprus;AD;2027;99,503;;;
High;Cyprus;AD;2027;109,109;;;
Low;Cyprus;AD;2027;91,204;;;
Base;Cyprus;AD;2028;101,457;;;
High;Cyprus;AD;2028;113,571;;;
Low;Cyprus;AD;2028;91,350;;;
Base;Cyprus;AD;2029;103,083;;;
High;Cyprus;AD;2029;117,771;;;
